기관코드,전체기관명,최하위기관명,차상위기관코드,폐지구분,
7010000,서울특별시교육청,서울특별시교육청,0000000,0,
7150000,부산광역시교육청,부산광역시교육청,0000000,0,
7240000,대구광역시교육청,대구광역시교육청,0000000,0,
7310000,인천광역시교육청,인천광역시교육청,0000000,0,
7380000,광주광역시교육청,광주광역시교육청,0000000,0,
7430000,대전광역시교육청,대전광역시교육청,0000000,0,
7480000,울산광역시교육청,울산광역시교육청,0000000,0,
7530000,경기도교육청,경기도교육청,0000000,0,
7800000,강원도교육청,강원도교육청,0000000,0,
8000000,충청북도교육청,충청북도교육청,0000000,0,
8140000,충청남도교육청,충청남도교육청,0000000,0,
8320000,전라북도교육청,전라북도교육청,0000000,0,
8490000,전라남도교육청,전라남도교육청,0000000,0,
8750000,경상북도교육청,경상북도교육청,0000000,0,
9010000,경상남도교육청,경상남도교육청,0000000,0,
9290000,제주특별자치도교육청,제주특별자치도교육청,0000000,0,
9300000,세종특별자치시교육청,세종특별자치시교육청,0000000,0,
